Code,Continent,Entity,Growth Rate - Sex: All - Age: All - Variant: Estimates,Per Capita Consumption-Based Coâ‚‚ Emissions,Population (Historical Estimates),Year,Total Emissions
ALB,Europe,Albania,-0.05,2.052618,2882482.0,2015,-3.560504454147502e-08
ARG,South America,Argentina,0.99,4.625161,43257064.0,2015,1.0585344835238936e-07
ARM,Asia,Armenia,-0.44,2.044427,2878598.0,2015,-3.1249513825827715e-07
AUS,Oceania,Australia,1.5,16.051287,23820240.0,2015,1.0107761508700164e-06
AUT,Europe,Austria,1.34,10.321385,8642422.0,2015,1.6003217500834836e-06
AZE,Asia,Azerbaijan,1.2,3.7763436,9863485.0,2015,4.594331841129175e-07
BHR,Asia,Bahrain,3.5,13.3693075,1362157.0,2015,3.4351823064448516e-05
BGD,Asia,Bangladesh,1.16,0.45970744,157830000.0,2015,3.3787025939301775e-09
BLR,Europe,Belarus,0.08,6.187436,9700609.0,2015,5.1027196333755956e-08
BEL,Europe,Belgium,0.6,18.54701,11248306.0,2015,9.89322836700922e-07
BEN,Africa,Benin,2.95,0.7175921,10932791.0,2015,1.9362820481979395e-07
BOL,South America,Bolivia,1.56,1.9379536,11090090.0,2015,2.726044257530823e-07
BWA,Africa,Botswana,1.99,5.8504367,2305177.0,2015,5.050531491941834e-06
BRA,South America,Brazil,0.83,2.6739426,205188208.0,2015,1.0816276332994732e-08
BRN,Asia,Brunei,1.11,17.90767,421449.0,2015,4.716469537239382e-05
BGR,Europe,Bulgaria,-0.88,5.573029,7309255.0,2015,-6.70966537629348e-07
BFA,Africa,Burkina Faso,2.94,0.2596474,18718022.0,2015,4.078226620312766e-08
KHM,Asia,Cambodia,1.32,1.8580755,15417527.0,2015,1.5908255973866626e-07
CMR,Africa,Cameroon,3.04,0.48102808,23012650.0,2015,6.354441418958704e-08
CAN,North America,Canada,0.95,15.22686,35732120.0,2015,4.048323189332175e-07
CHL,South America,Chile,1.02,4.8278813,17870122.0,2015,2.755682880060919e-07
CHN,Asia,China,0.56,6.3680625,1393715456.0,2015,2.5587109511111e-09
COL,South America,Colombia,0.96,2.6756394,47119728.0,2015,5.451249260182486e-08
CRI,North America,Costa Rica,1.03,2.475357,4895241.0,2015,5.208359935700816e-07
CIV,Africa,Cote d'Ivoire,2.58,0.5625631,23596738.0,2015,6.15090440890601e-08
HRV,Europe,Croatia,-0.76,5.0533504,4254821.0,2015,-9.026340482948637e-07
CYP,Europe,Cyprus,0.88,5.6496887,1187286.0,2015,4.187471305144674e-06
CZE,Europe,Czechia,0.04,9.954729,10523801.0,2015,3.783700965079062e-08
DNK,Europe,Denmark,0.48,8.669584,5677795.0,2015,7.329254261557524e-07
DOM,North America,Dominican Republic,1.18,3.4734921,10405832.0,2015,3.9388687785849324e-07
ECU,South America,Ecuador,1.49,2.9229212,16195904.0,2015,2.689045692046582e-07
EGY,Africa,Egypt,2.15,2.5293002,97723792.0,2015,5.564658635023086e-08
SLV,North America,El Salvador,0.32,1.3816465,6231072.0,2015,7.095518716522614e-08
EST,Europe,Estonia,0.21,13.734197,1314658.0,2015,2.193864389065445e-06
ETH,Africa,Ethiopia,2.68,0.11163772,102471896.0,2015,2.9197184913998274e-09
FIN,Europe,Finland,0.28,10.065051,5479457.0,2015,5.143236419229132e-07
FRA,Europe,France,0.3,6.6428127,63809768.0,2015,3.1231014818922393e-08
GEO,Asia,Georgia,-0.03,3.1304057,3771135.0,2015,-2.4902892895640168e-08
DEU,Europe,Germany,0.26,10.88889,82073232.0,2015,3.449494227301784e-08
GHA,Africa,Ghana,2.35,0.81197876,28870946.0,2015,6.609239911986257e-08
GRC,Europe,Greece,-0.55,5.2345567,10806644.0,2015,-2.6641075480972633e-07
GTM,North America,Guatemala,1.78,0.83947307,16001105.0,2015,9.338492964079668e-08
GIN,Africa,Guinea,2.59,0.20699431,11626003.0,2015,4.611346332011095e-08
HND,North America,Honduras,1.79,0.8754288,9294510.0,2015,1.6859603701539941e-07
HKG,Asia,Hong Kong,0.59,12.312816,7399845.0,2015,9.817180549052041e-07
HUN,Europe,Hungary,-0.26,6.0236006,9844250.0,2015,-1.5909146517002312e-07
IND,Asia,India,1.17,1.6070377,1322866560.0,2015,1.421333160768687e-09
IDN,Asia,Indonesia,1.08,2.105436,259091968.0,2015,8.776307878444152e-09
IRN,Asia,Iran,2.22,7.2674465,81790848.0,2015,1.9725594763365214e-07
IRL,Europe,Ireland,1.04,9.949864,4665764.0,2015,2.2178272540145623e-06
ISR,Asia,Israel,1.86,10.071242,8007777.0,2015,2.339289683016897e-06
ITA,Europe,Italy,-0.22,7.5636864,60232908.0,2015,-2.7626277117485343e-08
JAM,North America,Jamaica,0.34,2.3096948,2794455.0,2015,2.810194588927e-07
JPN,Asia,Japan,-0.18,10.699211,127250936.0,2015,-1.5134332528603168e-08
JOR,Asia,Jordan,7.24,3.7577922,9494250.0,2015,2.8655676359902045e-06
KAZ,Asia,Kazakhstan,1.35,11.685545,17835908.0,2015,8.844789819503442e-07
KEN,Africa,Kenya,2.16,0.5804758,46851496.0,2015,2.6761743701844657e-08
KWT,Asia,Kuwait,8.1,24.519283,3908745.0,2015,5.081073139844119e-05
KGZ,Asia,Kyrgyzstan,1.73,2.7564507,5914985.0,2015,8.06199797801685e-07
LAO,Asia,Laos,1.5,1.0605744,6787420.0,2015,2.3438384540812264e-07
LVA,Europe,Latvia,-0.94,6.0251675,1991951.0,2015,-2.843271471035181e-06
LTU,Europe,Lithuania,-1.03,6.9549675,2963764.0,2015,-2.4170671230907727e-06
LUX,Europe,Luxembourg,2.35,19.317709,569415.0,2015,7.972500926389365e-05
MDG,Africa,Madagascar,2.57,0.19583492,24850912.0,2015,2.0252606600514294e-08
MWI,Africa,Malawi,2.74,0.057770614,16938944.0,2015,9.344825885249991e-09
MYS,Asia,Malaysia,1.46,7.3322887,31068834.0,2015,3.445620618398489e-07
MLT,Europe,Malta,2.34,18.44589,456585.0,2015,9.453526199940863e-05
MUS,Africa,Mauritius,0.06,3.9841154,1293159.0,2015,1.848550131886334e-07
MEX,North America,Mexico,1.13,4.491558,120149896.0,2015,4.2242737688262334e-08
MNG,Asia,Mongolia,2.15,7.8812957,2964756.0,2015,5.7154065140605155e-06
MAR,Africa,Morocco,1.23,1.7916183,34680456.0,2015,6.354272011302275e-08
MOZ,Africa,Mozambique,3.04,0.57442045,26843252.0,2015,6.505315257629738e-08
NAM,Africa,Namibia,1.76,5.0740557,2282709.0,2015,3.912166654619577e-06
NPL,Asia,Nepal,0.67,0.22910853,27610328.0,2015,5.559612153104448e-09
NLD,Europe,Netherlands,0.48,9.994856,17041110.0,2015,2.8152690053640875e-07
NZL,Oceania,New Zealand,1.68,8.426337,4590591.0,2015,3.0837524318764186e-06
NIC,North America,Nicaragua,1.43,1.178118,6298610.0,2015,2.674730996203924e-07
NGA,Africa,Nigeria,2.49,0.63642514,183995776.0,2015,8.61269010110319e-09
NOR,Europe,Norway,0.93,9.744335,5190357.0,2015,1.745974612150956e-06
OMN,Asia,Oman,5.09,15.72067,4191784.0,2015,1.9089297134585176e-05
PAK,Asia,Pakistan,1.24,0.8916814,210969296.0,2015,5.240975615712345e-09
PAN,North America,Panama,1.74,0.3439923,3957102.0,2015,1.5125882577704592e-07
PRY,South America,Paraguay,1.43,1.6087627,6177954.0,2015,3.7237743450339704e-07
PER,South America,Peru,1.24,2.0166116,30711864.0,2015,8.142125088858169e-08
PHL,Asia,Philippines,1.76,1.3965832,103031360.0,2015,2.3856682392622986e-08
POL,Europe,Poland,-0.11,8.039241,38553148.0,2015,-2.2937595394285314e-08
PRT,Europe,Portugal,-0.32,5.028467,10365436.0,2015,-1.552379890242919e-07
QAT,Asia,Qatar,8.28,27.996979,2414580.0,2015,9.600633904032999e-05
ROU,Europe,Romania,-0.54,4.0071754,19906078.0,2015,-1.0870422169550428e-07
RUS,Europe,Russia,0.31,9.107773,144668384.0,2015,1.951642474972279e-08
RWA,Africa,Rwanda,2.39,0.09206326,11642963.0,2015,1.8898212714409554e-08
SAU,Asia,Saudi Arabia,1.88,21.378126,32749838.0,2015,1.2272084179469833e-06
SEN,Africa,Senegal,2.71,0.8397048,14356191.0,2015,1.5851001202199106e-07
SGP,Asia,Singapore,1.23,29.141739,5650020.0,2015,6.344108334129791e-06
SVK,Europe,Slovakia,0.09,7.438028,5424449.0,2015,1.2340839041900846e-07
SVN,Europe,Slovenia,0.45,8.474353,2080865.0,2015,1.8326315498602746e-06
ZAF,Africa,South Africa,2.35,5.7880187,55876504.0,2015,2.434268963033192e-07
KOR,Asia,South Korea,0.81,13.097697,50994396.0,2015,2.080451069564585e-07
ESP,Europe,Spain,-0.01,6.100805,46431344.0,2015,-1.3139410739434983e-09
LKA,Asia,Sri Lanka,0.43,1.6399884,21336692.0,2015,3.3050812750167645e-08
SWE,Europe,Sweden,1.04,7.2749667,9849344.0,2015,7.681694707789676e-07
CHE,Europe,Switzerland,1.08,17.420336,8281735.0,2015,2.271741715956862e-06
TWN,Asia,Taiwan,0.38,11.808977,23512136.0,2015,1.9085510818753346e-07
TJK,Asia,Tajikistan,2.36,1.0501623,8524066.0,2015,2.907512715176067e-07
TZA,Africa,Tanzania,3.56,0.3824946,52542824.0,2015,2.5915637423675592e-08
THA,Asia,Thailand,0.44,3.7115192,70294408.0,2015,2.323184012019847e-08
TGO,Africa,Togo,2.5,0.28565148,7473232.0,2015,9.555821363501093e-08
TTO,North America,Trinidad and Tobago,0.64,15.683864,1460180.0,2015,6.8742709528962185e-06
TUN,Africa,Tunisia,1.11,1.9631495,11557779.0,2015,1.885393331192784e-07
TUR,Asia,Turkey,1.71,5.181285,79646176.0,2015,1.112419678504088e-07
UGA,Africa,Uganda,3.11,0.18010934,37477356.0,2015,1.4946092979451378e-08
UKR,Europe,Ukraine,-0.3,4.1544433,44982568.0,2015,-2.7707021751181476e-08
ARE,Asia,United Arab Emirates,0.89,27.123022,8916909.0,2015,2.707158902260862e-06
GBR,Europe,United Kingdom,0.66,9.061221,65224368.0,2015,9.168974791752678e-08
USA,North America,United States,0.78,17.852444,324607776.0,2015,4.289763631540361e-08
URY,South America,Uruguay,0.34,3.1619954,3402820.0,2015,3.1593749772247726e-07
VEN,South America,Venezuela,1.07,2.9038634,30529722.0,2015,1.0177406260037351e-07
VNM,Asia,Vietnam,1.03,1.6153965,92191400.0,2015,1.8047869920621663e-08
ZMB,Africa,Zambia,3.16,0.52162796,16248231.0,2015,1.0144761935006955e-07
ZWE,Africa,Zimbabwe,2.1,0.95995694,14154937.0,2015,1.4241741761196114e-07
